fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Gegard Mousasi,1570,1545,1560,0.074074074,0.111,17.222,0.333,0.111,62.185,0.074,17.222,0.333,0.111,0.037,0,0,0,1028,2027,13,48,3.75,1.59,0.33,1.21,1.15,27,12,2.25
Gunnar Nelson,1570,1528,1553,0.03030303,0.303,8.394,0.576,0.303,88.788,0.03,8.394,0.576,0.303,0.061,4,13,12,277,453,10,32,1.84,1.9,0.1,3.0,1.0,33,15,2.2
Michael Chiesa,1570,1549,1561,0.022727273,0.295,7.659,0.932,0.295,107.932,0.023,7.659,0.932,0.295,0.045,0,13,6,324,806,17,76,1.86,3.35,0.09,1.72,1.03,44,20,2.2
Sean Woodson,1570,1517,1548,0.090909091,0.136,28.727,0.227,0.136,22.864,0.091,28.727,0.227,0.136,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,22,8,2.75
Jamahal Hill,1570,1498,1541,0.210526316,0.0,27.737,0.0,0.0,19.368,0.211,27.737,0.0,0.0,0.053,7,0,4,620,1137,0,0,7.18,0.0,0.69,3.51,0.0,19,9,2.11
Shara Magomedov,1569,1489,1537,0.166666667,0.0,29.833,0.0,0.0,2.833,0.167,29.833,0.0,0.0,0.0,12,0,7,357,546,0,0,6.82,0.0,0.57,4.49,0.0,6,2,3.0
Andre Petroski,1569,1510,1546,0.045454545,0.5,12.091,1.136,0.5,136.727,0.045,12.091,1.136,0.5,0.045,4,4,4,266,527,8,44,2.77,3.91,0.16,2.46,1.72,22,9,2.44
Elias Theodorou,1569,1513,1546,0.0,0.0,20.774,0.419,0.0,65.613,0.0,20.774,0.419,0.0,0.097,6,0,0,644,1524,13,46,4.19,1.27,0.0,2.39,0.0,31,11,2.82
Leonardo Santos,1569,1532,1554,0.115384615,0.077,12.923,0.269,0.077,35.077,0.115,12.923,0.269,0.077,0.0,3,8,11,336,717,5,27,2.82,0.88,0.38,3.4,0.25,26,11,2.36
Michael Bisping,1569,1504,1543,0.101265823,0.063,19.835,0.329,0.063,25.228,0.101,19.835,0.329,0.063,0.025,0,0,0,1610,4223,26,60,4.33,1.05,0.4,2.71,0.32,79,29,2.72
Nik Lentz,1568,1517,1548,0.029850746,0.388,16.104,1.03,0.388,88.463,0.03,16.104,1.03,0.388,0.03,11,8,0,1079,2267,59,210,3.44,3.3,0.1,3.25,1.24,67,25,2.68
Michel Pereira,1568,1500,1541,0.1,0.233,19.3,0.367,0.233,20.833,0.1,19.3,0.367,0.233,0.033,11,9,15,579,1077,13,21,4.46,1.27,0.35,4.23,0.81,30,12,2.5
Anthony Johnson,1568,1519,1548,0.393939394,0.152,11.545,0.576,0.152,79.061,0.394,11.545,0.576,0.152,0.03,0,0,0,381,800,13,33,3.25,2.43,1.66,1.83,0.64,33,19,1.74
Jessica Andrade,1568,1536,1555,0.116666667,0.1,28.833,0.667,0.1,64.283,0.117,28.833,0.667,0.1,0.017,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,60,28,2.14
Chad Mendes,1567,1537,1555,0.285714286,0.071,13.607,0.964,0.071,63.643,0.286,13.607,0.964,0.071,0.0,8,0,4,454,910,24,81,2.78,4.13,0.73,2.35,0.28,28,14,2.0
Said Nurmagomedov,1567,1518,1547,0.058823529,0.353,15.176,0.294,0.353,26.706,0.059,15.176,0.294,0.353,0.0,4,6,9,263,550,1,30,3.55,1.01,0.2,2.13,1.42,17,8,2.13
Gillian Robertson,1567,1505,1542,0.0,0.3,13.3,0.825,0.3,131.925,0.0,13.3,0.825,0.3,0.125,2,9,3,532,1088,3,83,2.89,2.68,0.0,2.95,0.98,40,18,2.22
Tagir Ulanbekov,1567,1525,1550,0.083333333,0.667,15.167,1.167,0.667,141.917,0.083,15.167,1.167,0.667,0.167,1,7,4,182,398,11,30,3.22,3.71,0.27,3.3,2.12,12,5,2.4
Stephen Thompson,1567,1559,1564,0.158730159,0.0,19.857,0.079,0.0,18.016,0.159,19.857,0.079,0.0,0.016,8,1,5,1251,2718,5,12,4.11,0.25,0.49,3.02,0.0,63,21,3.0
Cub Swanson,1567,1537,1555,0.140625,0.031,23.578,0.219,0.031,21.219,0.141,23.578,0.219,0.031,0.016,13,4,0,1747,3445,11,52,4.67,1.04,0.36,3.86,0.4,64,24,2.67
Ronda Rousey,1567,1519,1548,0.181818182,0.455,10.727,0.727,0.455,64.727,0.182,10.727,0.727,0.455,0.091,0,0,0,130,247,8,19,4.17,6.26,0.96,4.14,4.82,11,8,1.38
Nassourdine Imavov,1566,1555,1561,0.03125,0.375,21.5,0.281,0.375,51.375,0.031,21.5,0.281,0.375,0.0,6,4,7,688,1233,2,25,4.51,0.88,0.1,3.2,1.18,32,10,3.2
Jake Matthews,1565,1515,1545,0.1,0.18,15.62,0.48,0.18,69.04,0.1,15.62,0.48,0.18,0.06,6,7,3,781,1748,17,58,3.38,1.56,0.32,2.54,0.58,50,20,2.5
Erik Perez,1565,1511,1544,0.15,0.05,14.25,0.95,0.05,98.4,0.15,14.25,0.95,0.05,0.15,0,0,0,285,702,13,34,3.16,3.16,0.5,2.09,0.17,20,9,2.22
Dominick Cruz,1565,1567,1566,0.026315789,0.026,20.526,0.737,0.026,35.737,0.026,20.526,0.737,0.026,0.053,7,1,0,1185,3539,23,133,3.91,2.82,0.05,2.61,0.05,38,10,3.8
Nathaniel Wood,1565,1511,1543,0.107142857,0.179,27.893,0.464,0.179,50.321,0.107,27.893,0.464,0.179,0.071,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,28,10,2.8
David Teymur,1565,1510,1543,0.2,0.0,19.933,0.267,0.0,11.4,0.2,19.933,0.267,0.0,0.0,4,0,0,299,692,4,12,4.69,0.94,0.71,3.53,0.0,15,6,2.5
Shane Burgos,1565,1502,1540,0.193548387,0.129,33.548,0.129,0.129,28.935,0.194,33.548,0.129,0.129,0.0,5,5,6,1040,1984,2,9,7.4,0.43,0.64,6.78,0.43,31,11,2.82
Gregory Rodrigues,1564,1505,1540,0.210526316,0.105,23.105,0.789,0.105,66.316,0.211,23.105,0.789,0.105,0.053,10,3,7,453,809,7,36,5.52,2.74,0.73,4.69,0.37,19,9,2.11
Macy Chiasson,1564,1517,1545,0.08,0.12,16.24,0.68,0.12,105.56,0.08,16.24,0.68,0.12,0.16,3,3,3,406,880,13,44,3.77,2.37,0.28,2.79,0.42,25,11,2.27
Myles Jury,1564,1485,1533,0.12,0.08,13.08,0.64,0.08,81.84,0.12,13.08,0.64,0.08,0.12,10,3,0,327,767,16,29,2.94,2.16,0.41,2.16,0.27,25,12,2.08
Kelvin Gastelum,1564,1525,1548,0.136363636,0.03,17.727,0.348,0.03,41.091,0.136,17.727,0.348,0.03,0.121,7,4,6,1170,2759,9,66,3.74,1.1,0.43,3.48,0.1,66,23,2.87
Demian Maia,1564,1523,1547,0.011235955,0.303,8.303,0.764,0.303,104.674,0.011,8.303,0.764,0.303,0.09,3,14,0,739,1696,60,274,1.8,2.49,0.04,2.07,0.99,89,33,2.7
John Dodson,1564,1518,1546,0.224489796,0.0,15.143,0.224,0.0,14.082,0.224,15.143,0.224,0.0,0.0,11,2,0,742,1822,9,38,3.2,0.71,0.71,3.58,0.0,49,17,2.88
Rob Font,1563,1536,1553,0.142857143,0.102,25.857,0.265,0.102,23.041,0.143,25.857,0.265,0.102,0.041,9,4,9,1267,2773,5,38,5.44,0.84,0.45,3.58,0.32,49,18,2.72
Dan Hooker,1563,1532,1551,0.176470588,0.098,22.176,0.216,0.098,49.373,0.176,22.176,0.216,0.098,0.039,11,7,12,1131,2325,3,32,5.03,0.73,0.6,4.72,0.33,51,22,2.32
Junior Dos Santos,1563,1529,1550,0.24137931,0.017,19.121,0.086,0.017,7.845,0.241,19.121,0.086,0.017,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,58,23,2.52
Brian Ortega,1563,1553,1559,0.135135135,0.324,18.568,0.324,0.324,26.784,0.135,18.568,0.324,0.324,0.054,3,8,4,687,1813,1,46,4.08,1.07,0.45,6.59,1.07,37,13,2.85
Roman Dolidze,1562,1497,1536,0.153846154,0.346,15.038,0.423,0.346,90.269,0.154,15.038,0.423,0.346,0.077,8,3,8,391,910,9,26,3.16,1.33,0.49,3.38,1.09,26,11,2.36
Santiago Ponzinibbio,1562,1547,1556,0.227272727,0.0,21.773,0.182,0.0,13.955,0.227,21.773,0.182,0.0,0.0,16,6,14,958,2319,4,25,4.74,0.59,0.74,4.55,0.0,44,18,2.44
Ryan Bader,1562,1497,1536,0.14893617,0.128,12.277,0.979,0.128,97.66,0.149,12.277,0.979,0.128,0.0,0,0,0,577,1332,13,104,2.82,3.37,0.51,1.39,0.44,47,20,2.35
Tracy Cortez,1562,1512,1542,0.0,0.1,18.1,0.6,0.1,103.45,0.0,18.1,0.6,0.1,0.05,1,1,0,428,896,13,35,3.72,2.09,0.0,3.02,0.26,20,6,3.33
Ryan LaFlare,1561,1538,1552,0.064516129,0.065,13.774,0.677,0.065,81.806,0.065,13.774,0.677,0.065,0.161,4,3,0,427,1064,21,47,2.89,2.13,0.2,1.86,0.2,31,10,3.1
Farid Basharat,1561,1513,1542,0.0,0.286,14.857,1.429,0.286,134.429,0.0,14.857,1.429,0.286,0.0,1,6,3,280,505,3,38,4.36,3.97,0.0,2.57,0.47,7,3,2.33
Rose Namajunas,1561,1541,1553,0.087719298,0.123,17.351,0.456,0.123,52.526,0.088,17.351,0.456,0.123,0.053,2,6,5,989,2350,16,51,3.71,1.46,0.28,3.48,0.39,57,17,3.35
Anthony Hernandez,1561,1519,1544,0.0,0.609,19.304,1.783,0.609,138.391,0.0,19.304,1.783,0.609,0.043,3,8,5,454,720,13,92,4.9,6.64,0.16,2.88,2.27,23,9,2.56
Alex Morono,1561,1508,1540,0.089285714,0.107,23.5,0.107,0.107,16.768,0.089,23.5,0.107,0.107,0.018,6,7,11,1316,3269,13,24,4.96,0.34,0.28,4.56,0.34,56,22,2.55
Geoff Neal,1560,1517,1543,0.24137931,0.034,22.103,0.138,0.034,39.793,0.241,22.103,0.138,0.034,0.0,10,2,7,672,1316,13,10,5.05,0.56,1.01,5.44,0.11,29,11,2.64
Marcus McGhee,1560,1516,1543,0.375,0.125,24.875,0.125,0.125,17.875,0.375,24.875,0.125,0.125,0.0,8,1,0,199,412,13,3,6.06,0.46,1.37,2.83,0.46,8,4,2.0
Joaquin Buckley,1560,1499,1536,0.264705882,0.0,17.618,0.559,0.0,36.324,0.265,17.618,0.559,0.0,0.029,14,0,4,599,1658,7,41,4.13,1.96,0.93,3.2,0.0,34,14,2.43
Ludovit Klein,1560,1510,1540,0.192307692,0.0,18.077,0.538,0.0,90.308,0.192,18.077,0.538,0.0,0.0,9,8,10,470,861,4,27,3.81,1.7,0.61,3.22,0.0,26,10,2.6
Jacob Volkmann,1560,1507,1539,0.0,0.625,5.583,1.0,0.625,140.25,0.0,5.583,1.0,0.625,0.083,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,24,10,2.4
Ryan Hall,1560,1518,1543,0.142857143,0.714,11.5,0.071,0.714,56.357,0.143,11.5,0.071,0.714,0.286,2,3,0,161,322,1,11,2.38,0.22,0.44,1.33,2.22,14,6,2.33
Jack Hermansson,1560,1542,1553,0.0,0.114,22.705,0.455,0.114,47.818,0.0,22.705,0.455,0.114,0.0,11,6,10,999,2223,6,66,5.09,1.53,0.0,3.69,0.38,44,17,2.59
Marlon Vera,1560,1511,1540,0.173913043,0.261,20.029,0.159,0.261,26.522,0.174,20.029,0.159,0.261,0.014,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,69,24,2.88
Jairzinho Rozenstruik,1560,1533,1549,0.225806452,0.0,15.355,0.0,0.0,1.387,0.226,15.355,0.0,0.0,0.032,13,0,9,476,961,13,1,3.75,0.0,0.83,2.74,0.0,31,14,2.21
Kevin Holland,1559,1516,1542,0.090909091,0.182,18.036,0.255,0.182,35.873,0.091,18.036,0.255,0.182,0.055,14,8,13,1075,2176,13,36,4.24,0.83,0.3,3.21,0.59,55,23,2.39
Thiago Santos,1559,1530,1548,0.245614035,0.018,15.579,0.246,0.018,33.175,0.246,15.579,0.246,0.018,0.035,15,0,8,888,1844,5,42,3.72,0.88,0.88,2.57,0.06,57,24,2.38
Corey Anderson,1559,1503,1537,0.027777778,0.0,20.028,1.472,0.0,111.556,0.028,20.028,1.472,0.0,0.0,5,0,0,721,1558,52,106,4.43,4.89,0.09,2.22,0.0,36,15,2.4
Daniel Rodriguez,1559,1521,1544,0.137931034,0.034,35.414,0.069,0.034,8.966,0.138,35.414,0.069,0.034,0.034,8,4,5,1135,2287,13,11,7.5,0.59,0.4,5.47,0.1,29,12,2.42
Amir Albazi,1559,1482,1528,0.111111111,0.167,13.056,0.444,0.167,69.333,0.111,13.056,0.444,0.167,0.0,5,9,9,235,676,3,25,2.72,1.39,0.35,3.71,0.52,18,6,3.0
Mick Parkin,1558,1477,1526,0.1,0.0,24.0,0.3,0.0,38.5,0.1,24.0,0.3,0.0,0.1,5,1,5,247,469,13,12,4.91,1.49,0.3,4.15,0.3,10,4,2.5
Alejandro Perez,1558,1518,1542,0.033333333,0.1,15.967,0.167,0.1,17.667,0.033,15.967,0.167,0.1,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,30,13,2.31
William Gomis,1558,1494,1532,0.0,0.167,12.833,0.25,0.167,65.667,0.0,12.833,0.25,0.167,0.083,7,1,0,154,308,3,8,2.69,0.78,0.0,1.6,0.52,12,4,3.0
Alexandr Romanov,1558,1479,1527,0.0,0.25,16.4,1.3,0.25,127.1,0.0,16.4,1.3,0.25,0.05,6,9,11,328,635,13,47,3.78,4.49,0.0,2.13,0.86,20,10,2.0
Andre Muniz,1558,1522,1544,0.0,0.412,8.176,1.412,0.412,108.176,0.0,8.176,1.412,0.412,0.059,4,15,15,189,378,3,54,1.97,4.23,0.0,1.99,1.25,17,8,2.13
Kyler Phillips,1558,1508,1538,0.086956522,0.13,24.261,0.826,0.13,54.739,0.087,24.261,0.826,0.13,0.043,5,2,5,572,1296,14,37,5.28,2.63,0.42,3.47,0.42,23,8,2.88
Kai Kara-France,1558,1511,1539,0.258064516,0.0,21.742,0.194,0.0,26.29,0.258,21.742,0.194,0.0,0.032,12,3,13,674,1702,13,18,4.56,0.61,0.81,3.22,0.0,31,12,2.58
Bo Nickal,1558,1475,1525,0.142857143,0.571,10.0,0.571,0.571,85.286,0.143,10.0,0.571,0.571,0.0,2,4,5,77,122,1,14,2.65,3.61,0.52,1.86,3.61,7,4,1.75
Asu Almabayev,1558,1485,1528,0.111111111,0.444,9.556,1.778,0.444,174.778,0.111,9.556,1.778,0.444,0.111,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,9,3,3.0
Azamat Murzakanov,1557,1534,1548,0.363636364,0.0,19.909,0.182,0.0,29.0,0.364,19.909,0.182,0.0,0.0,10,0,8,228,404,1,13,4.72,0.62,1.55,2.9,0.0,11,4,2.75
Jordan Johnson,1557,1484,1528,0.0,0.364,15.909,1.0,0.364,121.727,0.0,15.909,1.0,0.364,0.0,0,0,0,175,367,8,26,3.45,3.25,0.0,2.64,1.18,11,4,2.75
Mackenzie Dern,1557,1514,1539,0.051282051,0.385,16.436,0.282,0.385,85.154,0.051,16.436,0.282,0.385,0.154,0,7,6,641,1612,1,65,3.43,0.88,0.16,4.12,1.2,39,14,2.79
Martin Buday,1556,1490,1530,0.066666667,0.067,21.6,0.067,0.067,58.067,0.067,21.6,0.067,0.067,0.0,7,2,6,347,645,13,4,4.84,0.21,0.42,5.54,0.21,15,6,2.5
Ricky Simon,1556,1533,1547,0.111111111,0.111,13.75,1.361,0.111,81.028,0.111,13.75,1.361,0.111,0.028,6,4,6,543,1240,9,142,2.99,5.2,0.33,3.84,0.33,36,13,2.77
Pat Sabatini,1556,1483,1527,0.066666667,0.533,7.8,1.067,0.533,157.0,0.067,7.8,1.067,0.533,0.067,2,12,8,117,196,6,36,1.94,3.97,0.25,1.47,1.99,15,8,1.88
Jasmine Jasudavicius,1556,1505,1536,0.041666667,0.208,17.417,0.75,0.208,141.833,0.042,17.417,0.75,0.208,0.042,2,3,2,488,1085,2,51,3.7,2.5,0.11,3.81,0.57,24,8,3.0
Taylor Lapilus,1556,1481,1526,0.086956522,0.087,22.261,0.087,0.087,35.087,0.087,22.261,0.087,0.087,0.043,4,6,7,512,1065,2,6,4.59,0.27,0.27,2.61,0.27,23,8,2.88
Adrian Yanez,1556,1477,1525,0.428571429,0.0,24.143,0.0,0.0,3.071,0.429,24.143,0.0,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,14,8,1.75
Brandon Royval,1556,1528,1545,0.111111111,0.37,19.852,0.222,0.37,21.148,0.111,19.852,0.222,0.37,0.222,4,9,10,536,1356,2,8,4.46,0.75,0.37,3.06,1.25,27,10,2.7
Jared Rosholt,1556,1495,1532,0.0,0.045,10.091,0.591,0.045,120.455,0.0,10.091,0.591,0.045,0.0,0,0,0,222,482,13,31,2.08,1.83,0.0,1.52,0.14,22,8,2.75
Kevin Lee,1556,1542,1550,0.020833333,0.229,17.563,0.958,0.229,111.958,0.021,17.563,0.958,0.229,0.042,3,8,6,843,1995,32,106,3.88,3.18,0.07,3.6,0.76,48,19,2.53
Johny Hendricks,1556,1519,1541,0.107142857,0.107,15.804,1.089,0.107,86.036,0.107,15.804,1.089,0.107,0.0,0,0,0,942,2063,61,147,3.49,3.83,0.44,3.99,0.33,56,21,2.67
Ketlen Vieira,1555,1534,1547,0.0,0.189,14.541,0.459,0.189,85.108,0.0,14.541,0.459,0.189,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,37,12,3.08
Urijah Faber,1555,1512,1538,0.092592593,0.167,13.204,0.481,0.167,51.444,0.093,13.204,0.481,0.167,0.037,10,17,0,982,2412,26,125,2.65,1.54,0.36,2.59,0.85,54,18,3.0
Joel Alvarez,1555,1485,1527,0.066666667,0.333,17.8,0.0,0.333,10.4,0.067,17.8,0.0,0.333,0.067,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,15,8,1.88
Germaine de Randamie,1555,1520,1541,0.074074074,0.111,11.741,0.0,0.111,24.556,0.074,11.741,0.0,0.111,0.0,4,1,3,405,865,13,2,2.57,0.0,0.29,2.0,0.38,27,10,2.7
Waldo Cortes-Acosta,1555,1460,1517,0.0,0.067,26.867,0.2,0.067,42.6,0.0,26.867,0.2,0.067,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,15,5,3.0
Sergio Moraes,1555,1514,1538,0.027027027,0.135,11.432,0.378,0.135,48.432,0.027,11.432,0.378,0.135,0.0,1,8,0,423,993,8,36,2.42,1.2,0.09,3.73,0.43,37,14,2.64
Diego Lopes,1554,1537,1547,0.25,0.667,19.25,0.167,0.667,40.667,0.25,19.25,0.167,0.667,0.083,10,12,15,251,469,13,5,4.2,0.5,0.75,4.11,2.76,12,6,2.0
Damir Ismagulov,1554,1533,1546,0.047619048,0.0,16.81,0.333,0.0,56.286,0.048,16.81,0.333,0.0,0.048,12,1,6,353,825,5,25,3.36,1.0,0.14,2.44,0.0,21,7,3.0
Jonathan Martinez,1554,1524,1542,0.214285714,0.024,21.119,0.119,0.024,40.048,0.214,21.119,0.119,0.024,0.048,9,2,3,887,1789,1,14,4.44,0.38,0.68,4.09,0.08,42,15,2.8
Nasrat Haqparast,1554,1504,1534,0.205882353,0.0,28.676,0.088,0.0,10.647,0.206,28.676,0.088,0.0,0.0,10,0,7,975,2167,1,15,6.15,0.28,0.66,5.65,0.0,34,13,2.62
Renan Barao,1554,1527,1543,0.078431373,0.098,18.078,0.471,0.098,43.588,0.078,18.078,0.471,0.098,0.0,8,15,0,952,2592,19,60,3.78,1.49,0.24,3.9,0.54,51,17,3.0
Loma Lookboonmee,1554,1505,1534,0.0,0.043,19.739,0.609,0.043,42.435,0.0,19.739,0.609,0.043,0.043,1,0,0,454,787,1,28,4.1,1.9,0.0,2.48,0.14,23,8,2.88
Miles Johns,1554,1501,1533,0.076923077,0.0,13.923,0.231,0.0,44.462,0.077,13.923,0.231,0.0,0.077,4,2,0,435,915,1,43,3.28,1.02,0.34,2.54,0.0,26,9,2.89
Ovince Saint Preux,1554,1537,1547,0.096774194,0.097,12.79,0.242,0.097,28.758,0.097,12.79,0.242,0.097,0.032,12,8,14,998,2088,9,66,3.03,1.09,0.46,3.33,0.5,62,28,2.21
Ricardo Ramos,1553,1520,1540,0.111111111,0.222,13.407,0.815,0.222,42.481,0.111,13.407,0.815,0.222,0.0,4,7,8,362,1003,4,36,3.03,2.77,0.38,3.85,0.75,27,13,2.08
Omari Akhmedov,1553,1539,1547,0.052631579,0.079,14.079,0.816,0.079,61.447,0.053,14.079,0.816,0.079,0.0,7,6,0,535,1556,19,68,2.97,2.58,0.17,2.84,0.25,38,15,2.53
Mike Pierce,1553,1476,1522,0.081081081,0.081,11.946,0.838,0.081,127.649,0.081,11.946,0.838,0.081,0.0,0,0,0,472,1111,13,87,2.62,3.08,0.33,2.36,0.25,37,14,2.64
Marvin Vettori,1553,1546,1550,0.019607843,0.157,22.667,0.549,0.157,64.255,0.02,22.667,0.549,0.157,0.02,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,51,15,3.4
Mateusz Gamrot,1552,1556,1554,0.037037037,0.037,14.704,1.593,0.037,74.63,0.037,14.704,1.593,0.037,0.0,8,5,3,397,780,12,122,3.23,5.25,0.12,3.22,0.12,27,10,2.7
Sergio Pettis,1552,1520,1539,0.023255814,0.116,19.047,0.279,0.116,25.442,0.023,19.047,0.279,0.116,0.047,3,3,0,819,2188,11,30,3.88,0.85,0.07,2.91,0.36,43,14,3.07
Rory MacDonald,1552,1526,1542,0.026315789,0.132,17.553,0.553,0.132,45.579,0.026,17.553,0.553,0.132,0.026,0,0,0,667,1570,13,44,3.75,1.77,0.08,2.8,0.42,38,13,2.92
Chris Wade,1552,1495,1529,0.058823529,0.353,8.059,0.824,0.353,125.353,0.059,8.059,0.824,0.353,0.471,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,17,7,2.43
Raoni Barcelos,1552,1525,1541,0.172413793,0.172,24.69,0.586,0.172,59.448,0.172,24.69,0.586,0.172,0.0,8,3,5,716,1380,3,52,5.22,1.86,0.55,4.79,0.55,29,11,2.64
Alexa Grasso,1552,1553,1552,0.023809524,0.214,20.571,0.143,0.214,29.333,0.024,20.571,0.143,0.214,0.095,4,2,5,864,2063,1,15,4.19,0.44,0.07,3.69,0.65,42,13,3.23
Krzysztof Jotko,1552,1549,1551,0.044444444,0.022,14.222,0.422,0.022,64.933,0.044,14.222,0.422,0.022,0.089,6,1,4,640,1505,9,48,2.98,1.33,0.14,2.23,0.07,45,17,2.65
Francis Carmont,1551,1524,1541,0.041666667,0.208,9.333,0.542,0.208,83.583,0.042,9.333,0.542,0.208,0.083,0,0,0,280,661,13,41,2.22,1.79,0.12,1.64,0.6,24,9,2.67
Cezar Ferreira,1551,1530,1543,0.058823529,0.147,8.735,0.824,0.147,87.471,0.059,8.735,0.824,0.147,0.0,4,4,0,297,693,23,52,1.9,2.69,0.19,2.44,0.48,34,15,2.27
Gleison Tibau,1551,1514,1536,0.029850746,0.254,8.97,1.254,0.254,92.806,0.03,8.97,1.254,0.254,0.015,0,0,0,601,1889,84,157,1.95,4.08,0.1,2.51,0.83,67,28,2.39
Amanda Lemos,1551,1527,1541,0.222222222,0.222,13.63,0.259,0.222,38.593,0.222,13.63,0.259,0.222,0.074,8,3,8,368,677,1,11,3.16,0.9,0.77,3.87,0.77,27,12,2.25
Sage Northcutt,1550,1494,1528,0.111111111,0.167,14.833,0.5,0.167,43.111,0.111,14.833,0.5,0.167,0.056,0,0,0,267,510,9,26,3.58,1.81,0.4,1.96,0.6,18,8,2.25
Matheus Nicolau,1550,1526,1541,0.296296296,0.259,15.111,0.37,0.259,39.741,0.296,15.111,0.37,0.259,0.0,5,5,4,408,786,6,23,3.31,1.22,0.97,2.98,0.85,27,11,2.45
Dennis Bermudez,1550,1525,1540,0.119047619,0.333,20.714,1.214,0.333,102.143,0.119,20.714,1.214,0.333,0.071,4,4,0,870,1881,46,127,4.42,3.89,0.38,3.07,1.07,42,17,2.47
Jimmie Rivera,1550,1541,1546,0.103448276,0.034,19.034,0.276,0.034,20.138,0.103,19.034,0.276,0.034,0.0,4,2,0,552,1368,5,29,4.03,0.88,0.33,3.9,0.11,29,11,2.64
Serghei Spivac,1549,1462,1514,0.0,0.182,14.455,1.273,0.182,91.773,0.0,14.455,1.273,0.182,0.0,7,8,11,318,642,13,43,3.51,4.63,0.0,3.72,0.66,22,12,1.83
Amanda Ribas,1549,1519,1537,0.033333333,0.2,21.3,0.633,0.2,73.833,0.033,21.3,0.633,0.2,0.033,3,4,4,639,1589,2,37,4.63,2.07,0.11,3.4,0.65,30,11,2.73
Fares Ziam,1549,1487,1524,0.045454545,0.091,13.955,0.409,0.091,57.864,0.045,13.955,0.409,0.091,0.273,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,22,8,2.75
Aiemann Zahabi,1548,1513,1534,0.15,0.0,18.5,0.05,0.0,8.8,0.15,18.5,0.05,0.0,0.05,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,20,8,2.5
James Krause,1548,1500,1529,0.09375,0.313,24.438,0.25,0.313,60.5,0.094,24.438,0.25,0.313,0.125,8,14,0,821,1653,7,60,4.79,0.96,0.26,4.11,0.87,32,13,2.46
Steve Garcia,1548,1482,1521,0.461538462,0.154,13.385,0.308,0.154,47.308,0.462,13.385,0.308,0.154,0.077,14,0,8,259,457,4,10,5.04,1.17,2.63,2.34,0.58,13,8,1.63
Rick Story,1548,1503,1530,0.117647059,0.275,17.667,0.784,0.275,88.176,0.118,17.667,0.784,0.275,0.098,0,0,0,901,2158,13,83,3.8,2.53,0.38,2.17,0.89,51,19,2.68
Muslim Salikhov,1547,1498,1528,0.148148148,0.0,15.63,0.333,0.0,18.333,0.148,15.63,0.333,0.0,0.0,14,2,14,422,846,13,28,3.38,1.08,0.48,2.9,0.0,27,12,2.25
Brett Johns,1547,1499,1528,0.0,0.316,13.316,1.526,0.316,142.579,0.0,13.316,1.526,0.316,0.053,2,6,0,253,516,15,59,2.86,4.92,0.0,3.84,1.02,19,7,2.71
Karine Silva,1547,1508,1531,0.111111111,0.444,15.0,1.0,0.444,93.444,0.111,15.0,1.0,0.444,0.0,9,8,13,147,381,1,18,3.04,2.79,0.31,3.14,1.86,9,5,1.8
Jack Shore,1546,1496,1526,0.090909091,0.182,16.0,0.955,0.182,85.818,0.091,16.0,0.955,0.182,0.045,4,9,6,352,604,4,53,3.6,3.22,0.31,2.31,0.61,22,9,2.44
Sodiq Yusuff,1546,1511,1532,0.142857143,0.143,23.952,0.095,0.143,48.952,0.143,23.952,0.095,0.143,0.048,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,21,9,2.33
Travis Browne,1546,1515,1534,0.193548387,0.065,12.903,0.355,0.065,38.968,0.194,12.903,0.355,0.065,0.0,0,0,0,400,964,11,16,2.93,1.21,0.66,4.31,0.22,31,17,1.82
